#  Iter.   M_avg.    U_Bind.    Susc.
    9311  0.011631  0.322878  0.012664
    9321  0.011668  0.322818  0.012666
    9331  0.011663  0.322759  0.012667
    9341  0.011654  0.322697  0.012668
    9351  0.011653  0.322637  0.012669
    9361  0.011640  0.322573  0.012670
    9371  0.011634  0.322509  0.012671
    9381  0.011632  0.322446  0.012672
    9391  0.011621  0.322381  0.012673
    9401  0.011627  0.322321  0.012673
    9411  0.011636  0.322270  0.012674
    9421  0.011644  0.322225  0.012674
    9431  0.011632  0.322177  0.012675
    9441  0.011655  0.322135  0.012675
    9451  0.011645  0.322091  0.012676
    9461  0.011641  0.322047  0.012677
    9471  0.011646  0.322008  0.012677
    9481  0.011664  0.321979  0.012677
    9491  0.011661  0.321949  0.012678
    9501  0.011647  0.321915  0.012678
    9511  0.011641  0.321880  0.012678
    9521  0.011631  0.321843  0.012678
    9531  0.011635  0.321810  0.012678
    9541  0.011630  0.321777  0.012678
    9551  0.011621  0.321741  0.012678
    9561  0.011613  0.321703  0.012678
    9571  0.011604  0.321663  0.012678
    9581  0.011608  0.321628  0.012677
    9591  0.011604  0.321593  0.012677
    9601  0.011603  0.321559  0.012676
    9611  0.011592  0.321523  0.012676
    9621  0.011621  0.321485  0.012676
    9631  0.011622  0.321450  0.012675
    9641  0.011611  0.321412  0.012675
    9651  0.011613  0.321377  0.012675
    9661  0.011609  0.321343  0.012674
    9671  0.011608  0.321309  0.012674
    9681  0.011606  0.321278  0.012673
    9691  0.011603  0.321247  0.012672
    9701  0.011613  0.321223  0.012672
    9711  0.011644  0.321192  0.012671
    9721  0.011627  0.321156  0.012671
    9731  0.011613  0.321116  0.012671
    9741  0.011608  0.321075  0.012671
    9751  0.011648  0.321004  0.012672
    9761  0.011640  0.320931  0.012673
    9771  0.011631  0.320856  0.012674
    9781  0.011644  0.320789  0.012675
    9791  0.011649  0.320726  0.012676
    9801  0.011654  0.320669  0.012677
    9811  0.011670  0.320618  0.012678
    9821  0.011672  0.320570  0.012678
    9831  0.011673  0.320526  0.012679
    9841  0.011657  0.320476  0.012680
    9851  0.011646  0.320424  0.012680
    9861  0.011649  0.320376  0.012681
    9871  0.011638  0.320324  0.012682
    9881  0.011625  0.320268  0.012682
    9891  0.011639  0.320220  0.012683
    9901  0.011643  0.320175  0.012683
    9911  0.011634  0.320128  0.012684
    9921  0.011650  0.320088  0.012684
    9931  0.011653  0.320052  0.012685
    9941  0.011664  0.320021  0.012685
    9951  0.011671  0.319995  0.012686
    9961  0.011654  0.319965  0.012686
    9971  0.011645  0.319932  0.012687
    9981  0.011657  0.319905  0.012687
    9991  0.011652  0.319878  0.012687
    9001  0.009270  0.332012  0.011699
    9011  0.009275  0.332062  0.011698
    9021  0.009267  0.332107  0.011697
    9031  0.009257  0.332146  0.011696
    9041  0.009265  0.332193  0.011695
    9051  0.009271  0.332248  0.011693
    9061  0.009256  0.332293  0.011692
    9071  0.009244  0.332331  0.011691
    9081  0.009253  0.332378  0.011690
    9091  0.009250  0.332424  0.011689
    9101  0.009245  0.332469  0.011687
    9111  0.009240  0.332512  0.011686
    9121  0.009232  0.332550  0.011684
    9131  0.009234  0.332592  0.011683
    9141  0.009229  0.332632  0.011681
    9151  0.009228  0.332674  0.011679
    9161  0.009243  0.332723  0.011677
    9171  0.009234  0.332768  0.011676
    9181  0.009250  0.332820  0.011674
    9191  0.009256  0.332879  0.011672
    9201  0.009263  0.332945  0.011671
    9211  0.009285  0.333012  0.011670
    9221  0.009278  0.333075  0.011668
    9231  0.009285  0.333146  0.011667
    9241  0.009271  0.333208  0.011666
    9251  0.009267  0.333270  0.011665
    9261  0.009279  0.333339  0.011664
    9271  0.009267  0.333402  0.011662
    9281  0.009262  0.333463  0.011661
    9291  0.009257  0.333521  0.011660
    9301  0.009254  0.333579  0.011658
    9311  0.009250  0.333636  0.011657
    9321  0.009250  0.333694  0.011655
    9331  0.009247  0.333753  0.011653
    9341  0.009248  0.333814  0.011651
    9351  0.009248  0.333876  0.011649
    9361  0.009238  0.333934  0.011647
    9371  0.009236  0.333991  0.011645
    9381  0.009226  0.334043  0.011643
    9391  0.009226  0.334097  0.011641
    9401  0.009243  0.334156  0.011639
    9411  0.009234  0.334211  0.011637
    9421  0.009231  0.334265  0.011635
    9431  0.009232  0.334321  0.011633
    9441  0.009220  0.334372  0.011631
    9451  0.009233  0.334428  0.011629
    9461  0.009253  0.334486  0.011627
    9471  0.009240  0.334538  0.011626
    9481  0.009237  0.334589  0.011624
    9491  0.009238  0.334643  0.011623
    9501  0.009261  0.334692  0.011622
    9511  0.009251  0.334737  0.011621
    9521  0.009248  0.334781  0.011619
    9531  0.009244  0.334824  0.011618
    9541  0.009247  0.334870  0.011617
    9551  0.009244  0.334916  0.011615
    9561  0.009247  0.334966  0.011614
    9571  0.009242  0.335014  0.011612
    9581  0.009240  0.335062  0.011611
    9591  0.009255  0.335115  0.011609
    9601  0.009253  0.335169  0.011607
    9611  0.009253  0.335223  0.011606
    9621  0.009253  0.335279  0.011604
    9631  0.009273  0.335334  0.011603
    9641  0.009269  0.335388  0.011601
    9651  0.009260  0.335438  0.011600
    9661  0.009267  0.335493  0.011598
    9671  0.009257  0.335543  0.011597
    9681  0.009261  0.335597  0.011595
    9691  0.009247  0.335644  0.011594
    9701  0.009270  0.335686  0.011593
    9711  0.009264  0.335725  0.011592
    9721  0.009266  0.335767  0.011591
    9731  0.009264  0.335810  0.011590
    9741  0.009253  0.335847  0.011589
    9751  0.009247  0.335882  0.011588
    9761  0.009265  0.335920  0.011587
    9771  0.009259  0.335956  0.011587
    9781  0.009262  0.335995  0.011586
    9791  0.009256  0.336032  0.011585
    9801  0.009242  0.336063  0.011584
    9811  0.009230  0.336090  0.011583
    9821  0.009234  0.336120  0.011582
    9831  0.009235  0.336152  0.011581
    9841  0.009232  0.336184  0.011580
    9851  0.009241  0.336221  0.011579
    9861  0.009231  0.336254  0.011578
    9871  0.009224  0.336284  0.011577
    9881  0.009238  0.336319  0.011576
    9891  0.009242  0.336357  0.011575
    9901  0.009249  0.336400  0.011574
    9911  0.009259  0.336447  0.011573
    9921  0.009255  0.336494  0.011573
    9931  0.009268  0.336544  0.011572
    9941  0.009259  0.336591  0.011571
    9951  0.009249  0.336634  0.011570
    9961  0.009241  0.336673  0.011569
    9971  0.009233  0.336710  0.011568
    9981  0.009239  0.336751  0.011567
    9991  0.009239  0.336793  0.011566
    9001  0.007028  0.387818  0.012271
    9011  0.007026  0.387847  0.012268
    9021  0.007014  0.387868  0.012267
    9031  0.007016  0.387893  0.012265
    9041  0.007013  0.387917  0.012262
    9051  0.007012  0.387943  0.012260
    9061  0.007018  0.387975  0.012258
    9071  0.007022  0.388013  0.012255
    9081  0.007023  0.388054  0.012253
    9091  0.007038  0.388094  0.012251
    9101  0.007036  0.388134  0.012249
    9111  0.007040  0.388180  0.012246
    9121  0.007045  0.388231  0.012244
    9131  0.007034  0.388274  0.012242
    9141  0.007031  0.388317  0.012240
    9151  0.007033  0.388363  0.012237
    9161  0.007031  0.388409  0.012235
    9171  0.007029  0.388456  0.012232
    9181  0.007021  0.388497  0.012230
    9191  0.007015  0.388534  0.012227
    9201  0.007010  0.388569  0.012224
    9211  0.007010  0.388605  0.012222
    9221  0.007014  0.388647  0.012219
    9231  0.007006  0.388683  0.012216
    9241  0.007009  0.388723  0.012213
    9251  0.007011  0.388767  0.012210
    9261  0.007002  0.388805  0.012207
    9271  0.006999  0.388842  0.012204
    9281  0.006998  0.388880  0.012201
    9291  0.007001  0.388921  0.012198
    9301  0.007009  0.388969  0.012195
    9311  0.006999  0.389010  0.012192
    9321  0.007000  0.389054  0.012189
    9331  0.007014  0.389101  0.012186
    9341  0.007026  0.389150  0.012184
    9351  0.007029  0.389204  0.012181
    9361  0.007027  0.389257  0.012179
    9371  0.007018  0.389305  0.012176
    9381  0.007028  0.389358  0.012174
    9391  0.007032  0.389415  0.012171
    9401  0.007032  0.389474  0.012169
    9411  0.007021  0.389526  0.012166
    9421  0.007014  0.389573  0.012164
    9431  0.007002  0.389613  0.012162
    9441  0.007010  0.389659  0.012160
    9451  0.007006  0.389703  0.012157
    9461  0.006994  0.389740  0.012155
    9471  0.006990  0.389776  0.012154
    9481  0.006990  0.389813  0.012151
    9491  0.006990  0.389852  0.012149
    9501  0.006986  0.389889  0.012147
    9511  0.006990  0.389930  0.012145
    9521  0.006991  0.389974  0.012142
    9531  0.006993  0.390020  0.012140
    9541  0.006987  0.390062  0.012137
    9551  0.006976  0.390099  0.012135
    9561  0.006968  0.390131  0.012133
    9571  0.006966  0.390163  0.012130
    9581  0.006955  0.390189  0.012128
    9591  0.006947  0.390211  0.012126
    9601  0.006954  0.390238  0.012124
    9611  0.006962  0.390270  0.012122
    9621  0.006964  0.390304  0.012120
    9631  0.006960  0.390336  0.012118
    9641  0.006959  0.390370  0.012116
    9651  0.006969  0.390407  0.012114
    9661  0.006972  0.390448  0.012111
    9671  0.006969  0.390487  0.012109
    9681  0.006960  0.390522  0.012107
    9691  0.006959  0.390558  0.012105
    9701  0.006955  0.390591  0.012102
    9711  0.006950  0.390623  0.012100
    9721  0.006946  0.390652  0.012098
    9731  0.006936  0.390677  0.012096
    9741  0.006928  0.390698  0.012093
    9751  0.006925  0.390717  0.012091
    9761  0.006925  0.390738  0.012089
    9771  0.006918  0.390756  0.012087
    9781  0.006914  0.390772  0.012084
    9791  0.006912  0.390788  0.012082
    9801  0.006909  0.390804  0.012080
    9811  0.006900  0.390815  0.012077
    9821  0.006896  0.390825  0.012075
    9831  0.006910  0.390833  0.012073
    9841  0.006907  0.390840  0.012071
    9851  0.006904  0.390847  0.012069
    9861  0.006900  0.390852  0.012067
    9871  0.006906  0.390862  0.012065
    9881  0.006899  0.390868  0.012063
    9891  0.006912  0.390875  0.012061
    9901  0.006911  0.390882  0.012059
    9911  0.006918  0.390894  0.012057
    9921  0.006912  0.390903  0.012055
    9931  0.006906  0.390910  0.012053
    9941  0.006910  0.390920  0.012052
    9951  0.006919  0.390933  0.012050
    9961  0.006924  0.390950  0.012048
    9971  0.006918  0.390964  0.012046
    9981  0.006917  0.390979  0.012044
    9991  0.006915  0.390993  0.012043
