#  Iter.   M_avg.    U_Bind.    Susc.
    9671  0.035121  0.374301  0.007395
    9681  0.035142  0.374127  0.007399
    9691  0.035185  0.373962  0.007404
    9701  0.035198  0.373802  0.007408
    9711  0.035164  0.373640  0.007412
    9721  0.035218  0.373485  0.007416
    9731  0.035182  0.373327  0.007420
    9741  0.035116  0.373165  0.007424
    9751  0.035246  0.372957  0.007430
    9761  0.035225  0.372750  0.007435
    9771  0.035172  0.372538  0.007440
    9781  0.035142  0.372326  0.007445
    9791  0.035115  0.372113  0.007450
    9801  0.035119  0.371904  0.007455
    9811  0.035109  0.371697  0.007460
    9821  0.035079  0.371489  0.007465
    9831  0.035099  0.371287  0.007469
    9841  0.035054  0.371083  0.007474
    9851  0.035042  0.370880  0.007478
    9861  0.034987  0.370674  0.007483
    9871  0.034985  0.370470  0.007487
    9881  0.035003  0.370273  0.007492
    9891  0.034996  0.370077  0.007496
    9901  0.035016  0.369888  0.007500
    9911  0.035022  0.369703  0.007504
    9921  0.035027  0.369522  0.007509
    9931  0.034996  0.369340  0.007512
    9941  0.035022  0.369164  0.007516
    9951  0.035028  0.368992  0.007520
    9961  0.035026  0.368822  0.007524
    9971  0.035039  0.368658  0.007527
    9981  0.035093  0.368499  0.007531
    9991  0.035072  0.368341  0.007535
    9001  0.035933  0.320624  0.012863
    9011  0.035931  0.320531  0.012867
    9021  0.035926  0.320441  0.012871
    9031  0.035958  0.320362  0.012874
    9041  0.035996  0.320295  0.012877
    9051  0.035968  0.320225  0.012880
    9061  0.036073  0.320153  0.012884
    9071  0.036068  0.320084  0.012888
    9081  0.036067  0.320018  0.012891
    9091  0.036086  0.319961  0.012895
    9101  0.036012  0.319894  0.012898
    9111  0.036017  0.319832  0.012902
    9121  0.035998  0.319769  0.012905
    9131  0.036102  0.319703  0.012909
    9141  0.036061  0.319632  0.012912
    9151  0.036086  0.319570  0.012916
    9161  0.036135  0.319519  0.012920
    9171  0.036163  0.319477  0.012923
    9181  0.036144  0.319434  0.012926
    9191  0.036210  0.319401  0.012930
    9201  0.036164  0.319362  0.012933
    9211  0.036128  0.319319  0.012937
    9221  0.036127  0.319278  0.012940
    9231  0.036090  0.319233  0.012943
    9241  0.036063  0.319186  0.012946
    9251  0.036144  0.319144  0.012949
    9261  0.036159  0.319109  0.012952
    9271  0.036109  0.319068  0.012955
    9281  0.036048  0.319019  0.012958
    9291  0.036077  0.318978  0.012961
    9301  0.036056  0.318936  0.012964
    9311  0.036143  0.318898  0.012968
    9321  0.036114  0.318857  0.012971
    9331  0.036089  0.318814  0.012974
    9341  0.036067  0.318769  0.012977
    9351  0.036079  0.318729  0.012980
    9361  0.036057  0.318688  0.012983
    9371  0.036010  0.318642  0.012985
    9381  0.035991  0.318594  0.012988
    9391  0.035926  0.318539  0.012990
    9401  0.035879  0.318479  0.012993
    9411  0.035933  0.318428  0.012996
    9421  0.035900  0.318374  0.012999
    9431  0.036031  0.318287  0.013003
    9441  0.036010  0.318199  0.013006
    9451  0.036028  0.318117  0.013010
    9461  0.036020  0.318037  0.013014
    9471  0.036064  0.317966  0.013017
    9481  0.036053  0.317896  0.013020
    9491  0.035998  0.317820  0.013024
    9501  0.036047  0.317753  0.013027
    9511  0.036008  0.317682  0.013030
    9521  0.035971  0.317608  0.013034
    9531  0.035973  0.317536  0.013037
    9541  0.036009  0.317473  0.013040
    9551  0.035993  0.317410  0.013043
