site,mx,my,mz,atom
76,0.028797522,0.15378736,-0.98768425,1
77,0.07865111,0.37499544,-0.9236842,1
78,0.18454537,0.66928625,-0.71972144,1
79,0.33765262,0.89802414,-0.28203434,1
80,0.46640664,0.8412055,0.2735657,1
81,0.52262765,0.51733154,0.6776639,1
82,0.5375352,0.09185191,0.8382238,1
83,0.5373468,-0.34369013,0.7701529,1
84,0.50840116,-0.7240253,0.4661712,1
85,0.41115883,-0.9102181,-0.049512256,1
86,0.25492075,-0.7825038,-0.5680699,1
87,0.12030233,-0.47857362,-0.869767,1
88,0.0328229,-0.18601976,-0.9819976,1
89,-0.039440572,0.06391173,-0.9971759,1
90,-0.1410213,0.3114691,-0.939734,1
91,-0.3120233,0.5662446,-0.7628948,1
92,-0.546083,0.72967046,-0.4115514,1
93,-0.7509052,0.65982115,0.027881868,1
94,-0.85856795,0.36733046,0.3576722,1
95,-0.88502955,-0.029354751,0.46460843,1
96,-0.8474291,-0.41987613,0.32491243,1
97,-0.7247154,-0.68825954,-0.032959554,1
98,-0.50744224,-0.718649,-0.4754429,1
99,-0.2733767,-0.5333028,-0.8005332,1
100,-0.104715444,-0.29912537,-0.9484507,1
101,-0.004481078,-0.124078155,-0.99226236,1
102,0.04557105,-0.021194933,-0.99873626,1
103,0.049712807,0.030272331,-0.9983047,1
104,0.005167044,0.05298745,-0.9985818,1
105,-0.08155917,0.05893005,-0.99492484,1
106,-0.18472156,0.04710418,-0.98166144,1
107,-0.2652098,0.014890573,-0.9640758,1
108,-0.29027525,-0.026254162,-0.95658296,1
109,-0.25015718,-0.048674624,-0.966981,1
110,-0.15783058,-0.02327061,-0.987192,1
111,-0.03041403,0.06399097,-0.99748695,1
112,0.13314907,0.20387244,-0.9699007,1
113,0.3490477,0.3530721,-0.8680471,1
114,0.60399187,0.42588577,-0.673658,1
115,0.82735616,0.3450496,-0.4431959,1
116,0.9482885,0.12035384,-0.29370713,1
117,0.93895584,-0.15456235,-0.30736375,1
118,0.8025111,-0.36342612,-0.47317797,1
119,0.57517385,-0.42750177,-0.6974362,1
120,0.33696666,-0.35063168,-0.8737911,1
121,0.16181676,-0.20076746,-0.96618205,1
122,0.0631056,-0.025123399,-0.9976906,1
123,0.018078225,0.18767272,-0.98206526,1
124,0.0015845882,0.47425988,-0.8803835,1
125,-0.0034688034,0.8120514,-0.5835756,1
126,-0.005108703,0.999574,-0.028734636,1
127,-0.0047838707,0.8354489,0.5495473,1
128,-0.0025801335,0.4464815,0.89478916,1
129,0.44067395,-8.4599735e-05,0.8976672,1
130,0.43896198,-0.4385471,0.7842123,1
131,0.40964386,-0.8056545,0.42791674,1
132,0.31770244,-0.9392538,-0.1298751,1
133,0.18544912,-0.74854434,-0.6366239,1
134,0.0802458,-0.42397442,-0.9021122,1
135,0.007821644,-0.13460748,-0.99086815,1
136,-0.06748084,0.111408055,-0.991481,1
137,-0.189383,0.35369518,-0.9159879,1
138,-0.3904176,0.58127195,-0.71393067,1
139,-0.63971686,0.6807352,-0.35687828,1
140,-0.8358729,0.54762673,0.0377025,1
141,-0.9294342,0.22642614,0.29134756,1
142,-0.9352971,-0.16490163,0.3130924,1
143,-0.85636795,-0.5076631,0.094404936,1
144,-0.6749094,-0.67780936,-0.2916706,1
145,-0.42352554,-0.61010486,-0.6696254,1
146,-0.20057532,-0.4008432,-0.8939207,1
147,-0.051905293,-0.1987511,-0.97867453,1
148,0.037403002,-0.0643159,-0.9972284,1
149,0.080997854,0.0057932558,-0.9966974,1
150,0.0775754,0.033499032,-0.99642354,1
151,0.025181862,0.039872084,-0.9988874,1
152,-0.06359558,0.03521838,-0.9973542,1
153,-0.1578668,0.018894216,-0.98727965,1
154,-0.22059283,-0.008553919,-0.9753285,1
155,-0.22767755,-0.03300115,-0.9731772,1
156,-0.17757812,-0.028594146,-0.9836912,1
157,-0.083509654,0.028453076,-0.9961007,1
158,0.047273874,0.14729692,-0.98796195,1
159,0.22756827,0.31114164,-0.92271537,1
160,0.46867213,0.45553792,-0.75685644,1
161,0.7267712,0.4750925,-0.4960754,1
162,0.91694367,0.31505728,-0.24485344,1
163,0.9908025,0.029428367,-0.13207734,1
164,0.9401292,-0.26640025,-0.21257469,1
165,0.7716239,-0.45682994,-0.4426093,1
166,0.5262428,-0.47694078,-0.7039858,1
167,0.29185492,-0.35694826,-0.8873605,1
168,0.13255772,-0.18116006,-0.97447914,1
169,0.04598221,0.0109533,-0.99888223,1
170,0.002595424,0.24186753,-0.97030586,1
171,-0.025631601,0.54659986,-0.83700156,1
172,-0.056854535,0.8733989,-0.48367545,1
173,-0.08888314,0.9908116,0.10194235,1
174,-0.104221955,0.7623252,0.6387472,1
175,-0.10398839,0.35670373,0.928412,1
176,-0.098905645,-0.0842092,0.9915274,1
177,-0.093505904,-0.52006483,0.84899306,1
178,-0.083964236,-0.88334465,0.46114233,1
179,-0.062322315,-0.9890316,-0.13391234,1
