site,mx,my,mz,atom,run
120,0.33696666,-0.35063168,-0.8737911,1,run1
121,0.16181676,-0.20076746,-0.96618205,1,run1
122,0.0631056,-0.025123399,-0.9976906,1,run1
123,0.018078225,0.18767272,-0.98206526,1,run1
124,0.0015845882,0.47425988,-0.8803835,1,run1
125,-0.0034688031,0.8120514,-0.58357555,1,run1
126,-0.005108703,0.999574,-0.028734636,1,run1
127,-0.0047838707,0.8354489,0.5495473,1,run1
128,-0.0025801335,0.4464815,0.89478916,1,run1
129,0.44067395,-8.4599735e-05,0.8976672,1,run1
130,0.43896198,-0.4385471,0.7842123,1,run1
131,0.40964386,-0.8056545,0.42791674,1,run1
132,0.31770244,-0.9392538,-0.1298751,1,run1
133,0.18544914,-0.74854434,-0.63662386,1,run1
134,0.08024579,-0.4239744,-0.9021121,1,run1
135,0.007821644,-0.13460748,-0.99086815,1,run1
136,-0.06748084,0.111408055,-0.991481,1,run1
137,-0.189383,0.35369518,-0.9159879,1,run1
138,-0.3904176,0.58127195,-0.71393067,1,run1
139,-0.63971686,0.6807352,-0.35687828,1,run1
140,-0.8358729,0.54762673,0.0377025,1,run1
141,-0.9294341,0.22642612,0.29134762,1,run1
142,-0.9352971,-0.16490163,0.3130924,1,run1
143,-0.85636795,-0.5076631,0.094404936,1,run1
144,-0.6749094,-0.67780936,-0.2916707,1,run1
145,-0.42352554,-0.61010486,-0.6696254,1,run1
146,-0.20057532,-0.4008432,-0.8939207,1,run1
147,-0.051905293,-0.1987511,-0.97867453,1,run1
148,0.037403002,-0.0643159,-0.9972284,1,run1
149,0.080997854,0.0057932558,-0.9966974,1,run1
150,0.0775754,0.033499032,-0.99642354,1,run1
151,0.025181862,0.039872084,-0.9988874,1,run1
152,-0.06359558,0.03521838,-0.99735415,1,run1
153,-0.1578668,0.018894216,-0.98727965,1,run1
154,-0.22059283,-0.008553919,-0.9753285,1,run1
155,-0.22767755,-0.03300115,-0.9731772,1,run1
156,-0.17757812,-0.028594146,-0.9836912,1,run1
157,-0.083509654,0.028453076,-0.9961007,1,run1
158,0.047273874,0.14729692,-0.98796195,1,run1
159,0.22756825,0.3111416,-0.92271537,1,run1
160,0.46867213,0.45553792,-0.75685644,1,run1
161,0.7267712,0.4750925,-0.4960754,1,run1
162,0.91694367,0.31505728,-0.24485344,1,run1
163,0.99080247,0.029428365,-0.13207734,1,run1
164,0.9401292,-0.26640016,-0.21257465,1,run1
165,0.7716239,-0.45682994,-0.4426093,1,run1
166,0.5262428,-0.47694078,-0.7039858,1,run1
167,0.29185492,-0.35694826,-0.8873605,1,run1
168,0.13255772,-0.18116006,-0.97447914,1,run1
169,0.04598221,0.0109533,-0.99888223,1,run1
170,0.002595424,0.24186753,-0.97030586,1,run1
171,-0.025631601,0.54659986,-0.83700156,1,run1
172,-0.05685453,0.8733989,-0.48367542,1,run1
173,-0.08888314,0.9908116,0.10194235,1,run1
174,-0.104221955,0.7623252,0.6387472,1,run1
175,-0.10398839,0.35670373,0.928412,1,run1
176,-0.098905645,-0.0842092,0.9915274,1,run1
177,-0.093505904,-0.52006483,0.84899306,1,run1
178,-0.083964236,-0.88334465,0.46114233,1,run1
179,-0.06232231,-0.98903155,-0.13391234,1,run1
180,-0.034900926,-0.75942963,-0.64965266,1,run1
181,-0.018781407,-0.426857,-0.90412414,1,run1
182,-0.024073938,-0.1612165,-0.98662543,1,run1
183,-0.06350517,0.031836927,-0.9974736,1,run1
184,-0.15776847,0.18938614,-0.969145,1,run1
185,-0.32576936,0.32218543,-0.88885933,1,run1
186,-0.5538279,0.38939223,-0.73596764,1,run1
187,-0.77406704,0.33151454,-0.5393685,1,run1
188,-0.9095262,0.14226629,-0.39054105,1,run1
189,-0.92031306,-0.10972635,-0.37547842,1,run1
190,-0.8014364,-0.3168574,-0.50724846,1,run1
191,-0.5829577,-0.3911611,-0.712147,1,run1
192,-0.33538535,-0.32313284,-0.88493043,1,run1
193,-0.124760345,-0.18308672,-0.97514826,1,run1
194,0.037831765,-0.050145894,-0.9980252,1,run1
195,0.16785714,0.033240326,-0.9852508,1,run1
196,0.26483196,0.0557284,-0.9626829,1,run1
197,0.30973718,0.02969408,-0.95035845,1,run1
198,0.28779358,-0.0155842565,-0.95756567,1,run1
199,0.20743874,-0.05097178,-0.9769192,1,run1
200,0.10084299,-0.06391925,-0.99284697,1,run1
201,0.0077803615,-0.057762004,-0.9983001,1,run1
202,-0.044261105,-0.035833012,-0.9983772,1,run1
203,-0.047197767,0.011479899,-0.99881965,1,run1
204,-0.0036881422,0.10574922,-0.994386,1,run1
205,0.08877095,0.268994,-0.95904225,1,run1
206,0.2473769,0.49608442,-0.832289,1,run1
207,0.47666842,0.6960091,-0.5369903,1,run1
208,0.70537585,0.7009159,-0.10564962,1,run1
209,0.8453902,0.46103987,0.26973647,1,run1
210,0.8950032,0.0821502,0.43842965,1,run1
211,0.8771652,-0.3156522,0.3618633,1,run1
212,0.7796072,-0.6234396,0.05946176,1,run1
213,0.5830305,-0.72385657,-0.36892694,1,run1
214,0.34426597,-0.587063,-0.7326923,1,run1
215,0.1612082,-0.340379,-0.9263661,1,run1
216,0.05170591,-0.09368499,-0.99425834,1,run1
217,-0.021151273,0.15237856,-0.9880959,1,run1
218,-0.10168017,0.43921188,-0.89261085,1,run1
219,-0.22487997,0.75198245,-0.61963814,1,run1
220,-0.37725458,0.91866004,-0.11722964,1,run1
221,-0.48140195,0.76952136,0.41962966,1,run1
222,-0.51645416,0.40183324,0.756178,1,run1
223,-0.5204219,-0.032809097,0.85327876,1,run1
224,-0.5110754,-0.46418983,0.7234153,1,run1
225,-0.46657497,-0.81208915,0.3504555,1,run1
226,-0.35120285,-0.91442215,-0.20121829,1,run1
227,-0.19935985,-0.71288514,-0.67234707,1,run1
228,-0.08751211,-0.41335645,-0.9063543,1,run1
229,-0.031824082,-0.17891756,-0.98334926,1,run1
230,-0.024620406,-0.02647522,-0.99934626,1,run1
231,-0.06749694,0.07380632,-0.9949858,1,run1
232,-0.1665235,0.14311378,-0.9755964,1,run1
233,-0.3136408,0.17707379,-0.93288493,1,run1
234,-0.47017953,0.15419938,-0.86899585,1,run1
235,-0.5778572,0.06747679,-0.8133437,1,run1
236,-0.5920981,-0.05143504,-0.80422276,1,run1
237,-0.5052198,-0.1433623,-0.85099953,1,run1
238,-0.34798017,-0.16009471,-0.92373127,1,run1
239,-0.16677096,-0.09510564,-0.98139817,1,run1
240,0.013491194,0.01979562,-0.99971306,1,run1
241,0.19958945,0.1361048,-0.97038114,1,run1
242,0.3958409,0.2011365,-0.89602125,1,run1
243,0.57019114,0.17537689,-0.802574,1,run1
244,0.6686769,0.06323673,-0.74085915,1,run1
245,0.6565594,-0.08046701,-0.74996984,1,run1
246,0.5405532,-0.18589388,-0.8205155,1,run1
247,0.36762547,-0.21394081,-0.9050309,1,run1
248,0.20238195,-0.17241144,-0.9640103,1,run1
249,0.0888567,-0.089495,-0.9920157,1,run1
250,0.035586413,0.025269238,-0.9990471,1,run1
251,0.034402896,0.1925676,-0.98068047,1,run1
252,0.08092964,0.44320646,-0.8927589,1,run1
253,0.1790026,0.7538649,-0.63217556,1,run1
254,0.30891812,0.9425134,-0.1274287,1,run1
255,0.40104666,0.80825245,0.43114907,1,run1
256,0.4335412,0.43931618,0.7867931,1,run1
257,0.82971287,-0.0022902566,0.55818576,1,run1
258,0.80460495,-0.4093525,0.43016443,1,run1
259,0.70449346,-0.7058687,0.07374503,1,run1
260,0.5085946,-0.7649111,-0.3952753,1,run1
261,0.28552535,-0.57923007,-0.7635233,1,run1
262,0.12473235,-0.30666032,-0.9436108,1,run1
263,0.027016338,-0.04712252,-0.9985237,1,run1
264,-0.050703257,0.21315537,-0.9757018,1,run1
265,-0.15515332,0.5108213,-0.84557027,1,run1
266,-0.31484777,0.7957412,-0.5173653,1,run1
267,-0.48706537,0.8733549,0.004307443,1,run1
268,-0.58698785,0.6480838,0.48521402,1,run1
269,-0.6170638,0.25302252,0.7451254,1,run1
270,-0.616989,-0.18540925,0.7648189,1,run1
271,-0.5913387,-0.5946598,0.54470015,1,run1
272,-0.504116,-0.8587654,0.09159165,1,run1
273,-0.3390468,-0.8305453,-0.4418618,1,run1
274,-0.1724896,-0.5717013,-0.8021253,1,run1
275,-0.06627511,-0.3001836,-0.9515763,1,run1
276,-0.017870648,-0.11019683,-0.99374914,1,run1
277,-0.018404096,0.007964602,-0.9997989,1,run1
278,-0.070119515,0.08327968,-0.9940562,1,run1
279,-0.17459461,0.13032809,-0.9759771,1,run1
280,-0.31437856,0.14160222,-0.93867725,1,run1
281,-0.4453117,0.101959735,-0.8895514,1,run1
282,-0.5154911,0.016514393,-0.8567358,1,run1
283,-0.49475485,-0.07708239,-0.86560726,1,run1
284,-0.3896588,-0.12781323,-0.912047,1,run1
285,-0.23550099,-0.1049545,-0.9661904,1,run1
286,-0.066348314,-0.014574305,-0.9976901,1,run1
287,0.11237429,0.10946934,-0.9876176,1,run1
288,0.31305483,0.21683806,-0.9246502,1,run1
289,0.52361137,0.24944821,-0.8146207,1,run1
290,0.69138503,0.17392077,-0.7012406,1,run1
291,0.76022655,0.016369265,-0.6494518,1,run1
292,0.7077639,-0.14847529,-0.6906703,1,run1
293,0.55477893,-0.24679816,-0.79455084,1,run1
294,0.3595802,-0.25063464,-0.89882386,1,run1
295,0.18998285,-0.18309425,-0.96456367,1,run1
296,0.08194617,-0.07881695,-0.9935153,1,run1
297,0.0345729,0.056802247,-0.9977867,1,run1
298,0.035421442,0.25041413,-0.9674906,1,run1
299,0.0785214,0.5302349,-0.8442069,1,run1
300,0.16333458,0.8425418,-0.51326907,1,run1
301,0.26221526,0.96382713,0.047754012,1,run1
302,0.3203309,0.7498268,0.5789197,1,run1
303,0.3382998,0.35092428,0.8731583,1,run1
304,0.34417766,-0.089338586,0.9346445,1,run1
305,0.34438512,-0.520498,0.7813327,1,run1
306,0.31824538,-0.8664985,0.38457802,1,run1
307,0.23848125,-0.95120996,-0.19577114,1,run1
308,0.13350476,-0.7192511,-0.6818023,1,run1
309,0.053946245,-0.39087468,-0.9188617,1,run1
310,-0.0046672397,-0.11379791,-0.99349296,1,run1
311,-0.07575128,0.11759675,-0.99016804,1,run1
312,-0.19888712,0.34319302,-0.9179665,1,run1
313,-0.40264168,0.55166644,-0.73044086,1,run1
314,-0.6546273,0.6401608,-0.40206623,1,run1
315,-0.85670507,0.5145537,-0.03592897,1,run1
316,-0.95616883,0.2101163,0.20394197,1,run1
317,-0.9606028,-0.16457838,0.2239558,1,run1
318,-0.87142766,-0.49036244,0.012591066,1,run1
319,-0.6773745,-0.64526904,-0.35325885,1,run1
320,-0.42000416,-0.5742398,-0.7027412,1,run1
321,-0.19650635,-0.37411833,-0.90632266,1,run1
322,-0.04710576,-0.1828294,-0.98201555,1,run1
323,0.044567402,-0.05595809,-0.99743795,1,run1
324,0.091657355,0.009085715,-0.9957492,1,run1
325,0.09199982,0.033024777,-0.99521124,1,run1
326,0.04266195,0.037008595,-0.9984039,1,run1
327,-0.045040593,0.03219473,-0.99846625,1,run1
328,-0.1415728,0.017954536,-0.989765,1,run1
329,-0.21012774,-0.0070417197,-0.9776486,1,run1
330,-0.22496572,-0.03141323,-0.9738602,1,run1
331,-0.18208392,-0.030774755,-0.9828013,1,run1
332,-0.09362071,0.019284213,-0.9954212,1,run1
333,0.031603772,0.12987727,-0.9910263,1,run1
334,0.2041526,0.28796417,-0.9356273,1,run1
335,0.43789002,0.43616948,-0.7861352,1,run1
336,0.69723976,0.47237155,-0.53918624,1,run1
