site,mx,my,mz,atom
135,0.0078216465,-0.13460751,-0.9908681,1
136,-0.06748081,0.11140806,-0.991481,1
137,-0.18938312,0.3536952,-0.91598785,1
138,-0.39041784,0.58127177,-0.71393067,1
139,-0.63971686,0.68073493,-0.35687843,1
140,-0.8358729,0.5476267,0.03770252,1
141,-0.9294341,0.22642606,0.29134762,1
142,-0.93529713,-0.16490163,0.31309244,1
143,-0.8563678,-0.5076632,0.09440495,1
144,-0.6749094,-0.6778092,-0.29167092,1
145,-0.42352536,-0.6101048,-0.6696255,1
146,-0.20057544,-0.40084293,-0.89392084,1
147,-0.051905304,-0.19875112,-0.97867453,1
148,0.037403043,-0.06431594,-0.9972284,1
149,0.08099785,0.0057932553,-0.9966974,1
150,0.0775754,0.03349904,-0.99642354,1
151,0.025181863,0.039872076,-0.9988874,1
152,-0.06359559,0.035218388,-0.99735415,1
153,-0.15786685,0.018894214,-0.98727965,1
154,-0.2205929,-0.008553921,-0.97532845,1
155,-0.22767752,-0.033001147,-0.97317725,1
156,-0.17757806,-0.028594155,-0.9836912,1
157,-0.08350964,0.02845305,-0.99610066,1
158,0.047273874,0.1472969,-0.987962,1
159,0.22756831,0.31114164,-0.9227153,1
160,0.46867216,0.4555378,-0.7568565,1
161,0.72677106,0.47509265,-0.49607533,1
162,0.91694367,0.31505725,-0.24485344,1
163,0.99080247,0.029428357,-0.13207732,1
164,0.9401293,-0.26640013,-0.21257465,1
165,0.7716239,-0.45682988,-0.44260928,1
166,0.5262427,-0.47694078,-0.7039859,1
167,0.29185483,-0.3569483,-0.8873605,1
168,0.13255776,-0.18116006,-0.9744791,1
169,0.045982208,0.010953299,-0.9988822,1
170,0.0025954237,0.24186753,-0.97030586,1
171,-0.025631608,0.5466,-0.8370015,1
172,-0.05685456,0.8733987,-0.48367575,1
173,-0.088883124,0.9908115,0.101942316,1
174,-0.10422194,0.7623251,0.6387474,1
175,-0.103988335,0.35670373,0.92841196,1
176,-0.09890559,-0.084209226,0.9915273,1
177,-0.09350591,-0.52006465,0.8489932,1
178,-0.08396424,-0.8833446,0.46114248,1
179,-0.06232231,-0.98903155,-0.13391238,1
180,-0.0349009,-0.7594295,-0.6496527,1
181,-0.018781396,-0.4268568,-0.90412414,1
182,-0.024073938,-0.16121651,-0.9866254,1
183,-0.063505165,0.031836927,-0.9974736,1
184,-0.15776846,0.18938614,-0.969145,1
185,-0.32576942,0.32218528,-0.88885933,1
186,-0.553828,0.38939208,-0.7359676,1
187,-0.77406704,0.33151457,-0.5393685,1
188,-0.90952617,0.14226629,-0.39054117,1
189,-0.92031294,-0.10972638,-0.3754786,1
190,-0.8014364,-0.31685737,-0.5072486,1
191,-0.5829576,-0.3911613,-0.71214694,1
192,-0.3353855,-0.32313302,-0.8849303,1
193,-0.12476032,-0.18308671,-0.97514826,1
194,0.03783179,-0.050145894,-0.9980251,1
195,0.16785711,0.033240322,-0.9852508,1
196,0.2648319,0.05572841,-0.9626829,1
197,0.30973706,0.02969409,-0.9503585,1
198,0.2877936,-0.015584259,-0.95756567,1
199,0.20743877,-0.050971802,-0.9769191,1
200,0.100843035,-0.06391925,-0.9928469,1
201,0.007780358,-0.05776197,-0.9983,1
202,-0.044261083,-0.035833012,-0.9983772,1
203,-0.047197763,0.0114799,-0.9988196,1
204,-0.0036881408,0.105749205,-0.99438596,1
205,0.088770926,0.26899406,-0.9590422,1
206,0.24737695,0.4960845,-0.8322889,1
207,0.4766682,0.69600916,-0.53699034,1
208,0.705376,0.7009157,-0.10564962,1
209,0.84539014,0.4610398,0.26973647,1
210,0.8950032,0.082150176,0.43842983,1
211,0.877165,-0.31565228,0.36186337,1
212,0.77960724,-0.62343967,0.059461754,1
213,0.5830307,-0.72385633,-0.36892697,1
214,0.34426603,-0.5870628,-0.7326924,1
215,0.16120815,-0.340379,-0.9263661,1
216,0.051705915,-0.09368504,-0.9942583,1
217,-0.02115128,0.1523785,-0.9880959,1
218,-0.10168014,0.43921173,-0.89261085,1
219,-0.22488001,0.75198215,-0.61963844,1
220,-0.37725464,0.91866,-0.11722968,1
221,-0.48140195,0.76952136,0.41962963,1
222,-0.5164541,0.4018333,0.75617796,1
223,-0.520422,-0.032809112,0.85327864,1
224,-0.5110756,-0.46418998,0.72341514,1
225,-0.466575,-0.8120892,0.35045534,1
226,-0.3512029,-0.91442204,-0.20121841,1
227,-0.19935988,-0.7128852,-0.6723469,1
228,-0.08751212,-0.41335648,-0.90635425,1
229,-0.031824082,-0.17891751,-0.98334926,1
230,-0.02462039,-0.026475228,-0.9993462,1
231,-0.06749698,0.07380635,-0.9949859,1
232,-0.16652352,0.14311379,-0.9755964,1
233,-0.31364074,0.17707375,-0.932885,1
234,-0.4701795,0.15419935,-0.8689958,1
235,-0.577857,0.067476794,-0.8133438,1
236,-0.59209824,-0.05143502,-0.80422264,1
237,-0.5052199,-0.14336236,-0.8509995,1
238,-0.3479801,-0.16009478,-0.9237313,1
239,-0.16677108,-0.095105655,-0.98139817,1
240,0.013491189,0.019795613,-0.99971306,1
241,0.19958945,0.13610485,-0.97038114,1
242,0.39584097,0.2011365,-0.8960212,1
243,0.57019156,0.17537694,-0.8025737,1
244,0.668677,0.06323673,-0.74085915,1
245,0.65655947,-0.080466956,-0.7499698,1
246,0.5405533,-0.18589388,-0.8205155,1
247,0.36762527,-0.21394065,-0.90503097,1
248,0.20238201,-0.17241141,-0.96401024,1
249,0.08885671,-0.089495026,-0.9920157,1
250,0.03558641,0.025269222,-0.99904704,1
251,0.034402892,0.19256763,-0.98068047,1
252,0.08092966,0.44320646,-0.8927589,1
253,0.17900261,0.7538648,-0.63217545,1
254,0.30891815,0.9425134,-0.12742865,1
255,0.40104645,0.8082526,0.43114904,1
256,0.4335411,0.43931612,0.7867932,1
257,0.82971287,-0.0022902575,0.5581857,1
258,0.80460507,-0.4093522,0.4301645,1
259,0.70449317,-0.70586896,0.07374505,1
